time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
0;64.0645825;64.0615434;0.0276039;0.02662902;64.1510000
1.00000004749745;64.0924795;64.0903920;0.02839144;0.02803407;64.1790000
2.0000000949949;64.1205630;64.1195983;0.02768333;0.02873175;64.2060000
3.00000002607703;64.1475729;64.1475529;0.02733686;0.02818468;64.2330000
4.00000018998981;64.1755425;64.1749114;0.02780502;0.02768819;64.2600000
5.00000035390258;64.2026359;64.2022103;0.0269579;0.02744471;64.2870000
6.00000005215406;64.2296250;64.2296285;0.027;0.02744057;64.3150000
7.00000021606684;64.2566346;64.2573446;0.02685156;0.02760577;64.3420000
8.00000037997961;64.2835620;64.2846436;0.02730364;0.02741062;64.3680000
9.00000054389238;64.3115329;64.3119425;0.0277584;0.02735692;64.3950000
10.0000007078052;64.3386989;64.3391818;0.02643252;0.02722582;64.4220000
11.0000008717179;64.3647075;64.3651098;0.02622047;0.02636981;64.4490000
12.0000001043081;64.3916141;64.3907994;0.02718029;0.0259814;64.4750000
13.0000002682209;64.4186154;64.4172639;0.02721991;0.02630889;64.5020000
14.0000004321337;64.4456880;64.4443840;0.02672113;0.02682173;64.5550000
15.0000005960464;64.4719574;64.4709081;0.02457947;0.02654996;64.5550000
16.0000007599592;64.4967161;64.4968957;0.03996957;0.02648726;64.5810000
17.000000923872;64.5511722;64.5422548;0.03571295;0.03888763;64.6080000
18.0000010877848;64.5541985;64.5721764;0.002408402;0.03160407;64.6340000
19.0000012516975;64.5774037;64.5832032;0.02810546;0.01923604;64.6600000
20.0000014156103;64.6046675;64.6014423;0.02709405;0.01892645;64.6860000
21.0000015795231;64.6307609;64.6248073;0.02657381;0.02181053;64.7120000
22.0000017434359;64.6567500;64.6515698;0.02657716;0.0249226;64.7380000
23.0000019073486;64.6827500;64.6794647;0.02636604;0.02674607;64.7900000
24.0000002086163;64.7089999;64.7069425;0.02442649;0.0271031;64.7900000
25.000000372529;64.7328616;64.7331089;0.03880318;0.02675062;64.8150000
26.0000005364418;64.7862342;64.7769183;0.03518151;0.03802006;64.8410000
27.0000007003546;64.7892410;64.8056478;0.002318158;0.03053536;64.8670000
28.0000008642673;64.8115492;64.8161382;0.02708148;0.01849043;64.8920000
29.0000010281801;64.8377295;64.8339004;0.02658548;0.01836549;64.9180000
30.0000011920929;64.8638130;64.8580402;0.02621904;0.02209827;64.9430000
31.0000013560057;64.8888229;64.8849219;0.02576927;0.02509758;64.9680000
32.0000015199184;64.9147925;64.9128765;0.02594817;0.02686159;64.9940000
32.9999998211861;64.9398955;64.9399966;0.02482988;0.02695532;65.0440000
