time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Setpoint value active current [Arms];Actual active current value [Arms];Position control error [mm]
53.1250014901161;57.0774307;57.0765347;-0.05475531;-0.05671853;-0.08808303;-0.06446224;0.0008960
54.1875027120113;57.0150391;57.0129962;-0.05581405;-0.05655071;-0.1450956;-0.145877;0.0020429
55.2500039339066;56.9590000;56.9564910;-0.05572045;-0.05652911;-0.1148034;-0.1461409;0.0025090
56.3125014305115;56.8960000;56.8936081;-0.0557335;-0.05609911;-0.1361249;-0.1457587;0.0023919
57.3750026524067;56.8400000;56.8383546;-0.05581667;-0.05557601;-0.1717015;-0.1766451;0.0016454
58.4375038743019;56.7770000;56.7768426;-0.05598246;-0.05501907;-0.2203383;-0.236593;0.0001574
59.5000013709068;56.7210000;56.7215891;-0.05606563;-0.05519209;-0.2222224;-0.2320708;-0.0005891
60.562502592802;56.6580000;56.6588254;-0.05609196;-0.05563326;-0.2037231;-0.2428995;-0.0008254
61.6250038146973;56.6020000;56.6024990;-0.05605559;-0.05608298;-0.176714;-0.1887249;-0.0004990
62.6875013113022;56.5390000;56.5389008;-0.05607228;-0.0564303;-0.1499157;-0.1491364;0.0000992
63.7500062584877;56.4830000;56.4826936;-0.05554919;-0.05627539;-0.1483952;-0.09361283;0.0003064
64.8125037550926;56.4198598;56.4201088;-0.05717846;-0.05586327;-0.2760804;-0.2807253;-0.0002490
65.8750012516975;56.3629658;56.3636632;-0.05629384;-0.05626367;-0.122152;-0.09047883;-0.0006974
66.9375061988831;56.3000903;56.3002438;-0.05573325;-0.05630403;-0.199294;-0.2037693;-0.0001535
68.000003695488;56.2436973;56.2446327;-0.05732296;-0.0558591;-0.2530813;-0.3447616;-0.0009354
69.0625011920929;56.1800775;56.1818094;-0.05602239;-0.05586946;-0.2360791;-0.1837563;-0.0017319
70.1250061392784;56.1235475;56.1254234;-0.05737957;-0.0562515;-0.2222124;-0.3097813;-0.0018759
71.1875036358833;56.0600937;56.0601563;-0.05592364;-0.05746818;-0.1583087;-0.1548638;-0.0000626
72.2500011324883;56.0034063;56.0018034;-0.05690474;-0.05802912;-0.05786094;-0.1170881;0.0016029
73.3125060796738;55.9400752;55.9362979;-0.05558858;-0.05805491;-0.07775944;-0.04902413;0.0037773
74.3750035762787;55.8834287;55.8794946;-0.05665803;-0.05723579;-0.1450232;-0.1524316;0.0039341
75.4375010728836;55.8191440;55.8165521;-0.05644819;-0.05635358;-0.06868161;-0.1168869;0.0025919
76.5000060200691;55.7630669;55.7613582;-0.05593722;-0.05561792;-0.24285;-0.1950594;0.0017087
77.562503516674;55.6991359;55.6989522;-0.05706905;-0.05562462;-0.2469556;-0.3075859;0.0001837
78.625001013279;55.6421250;55.6425662;-0.05704916;-0.05610697;-0.226799;-0.2270322;-0.0004412
79.6875059604645;55.5780000;55.5784912;-0.05705472;-0.05667368;-0.1989664;-0.18614;-0.0004912
80.7500034570694;55.5210000;55.5213303;-0.0570368;-0.05696429;-0.1821673;-0.1606341;-0.0003303
81.8125009536743;55.4568750;55.4566593;-0.05697596;-0.05731484;-0.1566195;-0.1728127;0.0002157
82.8750059008598;55.3998750;55.3994388;-0.0569514;-0.05721409;-0.1583356;-0.1046119;0.0004362
83.9375033974648;55.3357500;55.3357215;-0.05699682;-0.05677613;-0.1861692;-0.1368232;0.0000285
85.0000083446503;55.2787500;55.2796931;-0.05710508;-0.05632407;-0.2233684;-0.2398686;-0.0009431
86.0625058412552;55.2146032;55.2163930;-0.05722513;-0.05631032;-0.2248039;-0.2243951;-0.0017898
87.1250033378601;55.1577442;55.1592321;-0.05699228;-0.05689747;-0.2626138;-0.2191896;-0.0014879
88.1875082850456;55.0929297;55.0937266;-0.05817212;-0.05789774;-0.1650789;-0.1885783;-0.0007969
89.2500057816505;55.0354375;55.0341220;-0.05681176;-0.05891671;-0.02519828;0.01245665;0.0013155
90.3125032782555;54.9715039;54.9684972;-0.05677079;-0.05842701;-0.1539173;-0.1500407;0.0030067
91.375008225441;54.9136530;54.9108596;-0.05765361;-0.05794149;-0.07053492;-0.1192727;0.0027934
92.4375057220459;54.8493340;54.8467250;-0.05688639;-0.05727731;-0.2161909;-0.1724925;0.0026090
93.5000032186508;54.7914160;54.7901602;-0.057683;-0.05688039;-0.1229778;-0.1089161;0.0012558
94.5625081658363;54.7271771;54.7262044;-0.05722625;-0.05685473;-0.2741112;-0.2456812;0.0009727
95.6250056624413;54.6691979;54.6690435;-0.05764816;-0.05704192;-0.1128423;-0.1850139;0.0001544
96.6875031590462;54.6050000;54.6057434;-0.05824949;-0.05648274;-0.3219517;-0.3016242;-0.0007434
97.7500081062317;54.5470000;54.5489402;-0.05713284;-0.05665926;-0.1573907;-0.2325696;-0.0019402
98.8125056028366;54.4827746;54.4849248;-0.05809276;-0.05687415;-0.3110737;-0.3095578;-0.0021502
99.8750030994415;54.4247500;54.4268102;-0.05822954;-0.05767113;-0.2277976;-0.2341882;-0.0020602
100.937508046627;54.3595171;54.3602915;-0.0580368;-0.05866822;-0.169544;-0.1712473;-0.0007744
102.000005543232;54.3014097;54.3014617;-0.05828964;-0.05872785;-0.1092353;-0.2058994;-0.0000520
103.062503039837;54.2366807;54.2361350;-0.05679434;-0.05818434;-0.1231119;-0.09881584;0.0005457
104.125007987022;54.1792917;54.1793318;-0.05800153;-0.05736484;-0.2457864;-0.2990966;-0.0000401
105.187505483627;54.1140000;54.1147203;-0.05808025;-0.0575131;-0.2186692;-0.2532602;-0.0007203
106.250002980232;54.0560000;54.0561290;-0.05801437;-0.05822969;-0.1741289;-0.1825668;-0.0001290
107.312507927418;53.9907500;53.9897890;-0.05789293;-0.05872417;-0.1331149;-0.1871695;0.0009610
108.375005424023;53.9327500;53.9311976;-0.05782703;-0.05862135;-0.1289667;-0.1438354;0.0015524
109.437502920628;53.8674829;53.8661689;-0.05780411;-0.05807791;-0.1434664;-0.1412475;0.0013140
110.500007867813;53.8096060;53.8088293;-0.05817648;-0.05761847;-0.29421;-0.2650578;0.0007767
111.562505364418;53.7433325;53.7432046;-0.05872045;-0.05818192;-0.1308396;-0.2037173;0.0001279
112.625002861023;53.6852391;53.6843152;-0.05780754;-0.05859168;-0.1319036;-0.09509965;0.0009239
113.687507808208;53.6200000;53.6185116;-0.05741749;-0.05850198;-0.1245813;-0.1269997;0.0014884
114.750005304813;53.5620000;53.5609932;-0.05897115;-0.05790158;-0.2849468;-0.25927;0.0010068
115.812502801418;53.4957158;53.4957261;-0.05821729;-0.05793983;-0.1315211;-0.1616959;-0.0000103
116.875007748604;53.4377993;53.4382076;-0.05767863;-0.05765026;-0.2166755;-0.1636218;-0.0004083
117.937505245209;53.3721973;53.3734770;-0.05936133;-0.0575694;-0.2752976;-0.3499096;-0.0012797
119.000002741814;53.3135527;53.3149452;-0.05793639;-0.05818961;-0.1903547;-0.1732735;-0.0013925
120.062507688999;53.2477975;53.2492013;-0.05932697;-0.05837735;-0.211227;-0.2992076;-0.0014038
121.125005185604;53.1893275;53.1901331;-0.05791919;-0.05877818;-0.1811412;-0.0948308;-0.0008056
122.18751013279;53.1234063;53.1237931;-0.05912643;-0.0589055;-0.1464333;-0.1937544;-0.0003868
123.250007629395;53.0650703;53.0644865;-0.05785162;-0.0591162;-0.1549841;-0.1228454;0.0005838
124.312505125999;52.9991569;52.9977293;-0.05891158;-0.05928429;-0.1702592;-0.1609602;0.0014276
125.375002622604;52.9401468;52.9380650;-0.05879377;-0.05950457;-0.1474;-0.1709833;0.0020818
126.437500119209;52.8736440;52.8713674;-0.05848332;-0.05931762;-0.03130463;-0.071472;0.0022766
