time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
0;79.8283491;79.8294753;0.004901784;79.8390000
1.00000004749745;79.8282586;79.8309058;0.002591861;79.8420000
2.0000000949949;79.8335802;79.8320979;0.001928687;79.8460000
3.00000002607703;79.8380244;79.8366874;0.003567433;79.8490000
4.00000018998981;79.8407461;79.8408598;0.003909914;79.8520000
5.00000035390258;79.8445752;79.8446745;0.003859644;79.8550000
6.00000005215406;79.8479069;79.8485488;0.003855463;79.8580000
7.00000021606684;79.8508750;79.8517674;0.003430221;79.8580000
8.00000037997961;79.8538095;79.8543900;0.002906605;79.8610000
9.00000054389238;79.8572618;79.8570126;0.002712664;79.8640000
10.0000007078052;79.8577743;79.8583239;0.00173773;79.8690000
11.0000008717179;79.8598230;79.8585027;0.0008344445;79.8720000
12.0000001043081;79.8626171;79.8601717;0.001422874;79.8750000
13.0000002682209;79.8672755;79.8640460;0.003056417;79.8780000
14.0000004321337;79.8709388;79.8695892;0.004586665;79.8800000
15.0000005960464;79.8738532;79.8744768;0.00472703;79.8830000
16.0000007599592;79.8770039;79.8783511;0.004157848;79.8860000
17.000000923872;79.8791748;79.8807353;0.003012307;79.8880000
18.0000010877848;79.8818213;79.8820466;0.001979027;79.8910000
19.0000012516975;79.8850039;79.8837155;0.001839201;79.8930000
20.0000014156103;79.8871530;79.8856229;0.001884316;79.8960000
21.0000015795231;79.8899720;79.8879474;0.002178434;79.8980000
22.0000017434359;79.8921530;79.8906892;0.002534189;79.9000000
23.0000019073486;79.8949502;79.8933715;0.002623949;79.9000000
24.0000002086163;79.8972383;79.8962921;0.0027798;79.9050000
25.000000372529;79.8995733;79.8986763;0.002511554;79.9070000
26.0000005364418;79.8994627;79.8996895;0.001489885;79.9100000
27.0000007003546;79.9033087;79.9009412;0.001497572;79.9120000
28.0000008642673;79.9062167;79.9045175;0.002776958;79.9140000
29.0000010281801;79.9089502;79.9079150;0.003175148;79.9160000
30.0000011920929;79.9112819;79.9111336;0.003169417;79.9180000
31.0000013560057;79.9132500;79.9134582;0.002602581;79.9200000
32.0000015199184;79.9152500;79.9153060;0.002089158;79.9220000
32.9999998211861;79.9172500;79.9169749;0.001820665;79.9220000
34.000001847744;79.9192064;79.9186438;0.001754948;79.9260000
35.0000001490116;79.9215515;79.9202531;0.001680764;79.9260000
36.0000021755695;79.9215480;79.9211472;0.001133826;79.9300000
37.0000004768372;79.9248882;79.9225181;0.001406795;79.9320000
38.0000025033951;79.9256555;79.9247831;0.001855731;79.9320000
39.0000008046627;79.9285430;79.9267501;0.002010831;79.9340000
40.0000028312206;79.9315717;79.9303859;0.003021236;79.9360000
41.0000011324883;79.9318495;79.9324721;0.00232991;79.9370000
42.0000031590462;79.9331644;79.9331278;0.001308868;79.9410000
43.0000014603138;79.9354226;79.9342006;0.001193842;79.9410000
44.0000034868717;79.9362483;79.9353927;0.001178966;79.9420000
45.0000017881393;79.9398546;79.9376577;0.001967107;79.9440000
46.0000038146973;79.9410423;79.9406975;0.002534722;79.9460000
47.0000021159649;79.9414860;79.9418896;0.001645787;79.9490000
48.0000004172325;79.9432399;79.9427241;0.00116993;79.9500000
49.0000024437904;79.9450992;79.9440354;0.001273924;79.9520000
50.0000007450581;79.9480792;79.9463004;0.00192308;79.9530000
51.000002771616;79.9495598;79.9491018;0.002406143;79.9550000
52.0000010728836;79.9513470;79.9511880;0.002211079;79.9560000
53.0000030994415;79.9525280;79.9527973;0.001806879;79.9560000
54.0000014007092;79.9543034;79.9540490;0.001457616;79.9590000
55.0000034272671;79.9558295;79.9554199;0.001389844;79.9600000
56.0000017285347;79.9556669;79.9558371;0.0007698358;79.9610000
57.0000037550926;79.9579936;79.9564928;0.0008055508;79.9610000
58.0000020563602;79.9596670;79.9586385;0.001632992;79.9630000
59.0000040829182;79.9607758;79.9604863;0.001743326;79.9640000
60.0000023841858;79.9607958;79.9613804;0.001149975;79.9650000
61.0000044107437;79.9622933;79.9618572;0.0007637212;79.9660000
62.0000027120113;79.9636569;79.9629897;0.001007577;79.9670000
63.000001013279;79.9646250;79.9640626;0.001054881;79.9690000
64.0000030398369;79.9656468;79.9652547;0.001145859;79.9700000
65.0000050663948;79.9664961;79.9662679;0.001063733;79.9710000
65.9999996423721;79.9683252;79.9675792;0.001219424;79.9720000
67.0000016689301;79.9696569;79.9692482;0.001481084;79.9730000
68.000003695488;79.9706250;79.9706191;0.001389437;79.9740000
69.0000057220459;79.9716250;79.9717516;0.001218031;79.9750000
70.0000002980232;79.9726250;79.9725860;0.0009804539;79.9760000
71.0000023245811;79.9736250;79.9734801;0.0009170242;79.9770000
72.0000043511391;79.9746250;79.9742550;0.0008194309;79.9780000
73.000006377697;79.9756250;79.9751490;0.000853796;79.9790000
74.0000009536743;79.9766250;79.9758643;0.0007844089;79.9790000
75.0000029802322;79.9776032;79.9766391;0.0007581908;79.9800000
76.0000050067902;79.9787539;79.9775928;0.0008774793;79.9810000
77.0000070333481;79.9789248;79.9781889;0.0006771537;79.9820000
78.0000016093254;79.9795931;79.9786061;0.0005398731;79.9830000
79.0000036358833;79.9806250;79.9794406;0.0007378379;79.9830000
