time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
71.0000023245811;44.9291528;44.8023885;0.05594407;0.01016199;45.1050000
72.0000043511391;45.0758862;44.8607415;0.1626818;0.04403072;45.1050000
73.000006377697;45.1084936;44.9406713;0.005034283;0.0631175;45.2630000
74.0000009536743;45.1077002;44.9643940;0.008149115;0.03736298;45.2630000
75.0000029802322;45.0882588;44.9585527;0.05600882;0.0109708;45.2630000
76.0000050067902;45.2340693;45.0197667;0.1617156;0.04606728;45.2630000
77.0000070333481;45.2664717;45.1024383;0.004698073;0.06555481;45.4210000
78.0000016093254;45.2657002;45.1280087;0.007523539;0.03938528;45.4210000
79.0000036358833;45.2462588;45.1225847;0.05533675;0.01199425;45.4210000
80.0000056624413;45.3920693;45.1830238;0.1611299;0.04601653;45.4210000
81.0000002384186;45.4244717;45.2642649;0.004271723;0.06467458;45.5780000
82.0000022649765;45.4236831;45.2879876;0.00735063;0.03792322;45.5780000
83.0000042915344;45.4043647;45.2813715;0.05499787;0.01070575;45.5780000
84.0000063180923;45.5492524;45.3419298;0.1600655;0.04565825;45.5780000
85.0000008940697;45.5814497;45.4230517;0.004156131;0.0643719;45.7340000
86.0000029206276;45.5806660;45.4448670;0.00741164;0.03665088;45.7340000
87.0000049471855;45.5614707;45.4358071;0.05503238;0.008738805;45.7340000
88.0000069737434;45.7054356;45.4942792;0.1596203;0.04358573;45.7340000
89.0000015497208;45.7374277;45.5742091;0.004779166;0.06298709;45.8900000
90.0000035762787;45.7366660;45.5971569;0.00782501;0.03687242;45.8900000
91.0000056028366;45.7174707;45.5908984;0.05513362;0.01055424;45.8900000
92.0000076293945;45.8614356;45.6525892;0.1593629;0.04632507;45.8900000
93.0000022053719;45.8934277;45.7371682;0.004003799;0.06683001;46.0450000
94.0000042319298;45.8926489;45.7642883;0.006632351;0.04074532;46.0450000
95.0000062584877;45.8735767;45.7594603;0.05348279;0.01281363;46.0450000
96.000000834465;46.0166186;45.8211511;0.1569999;0.04712911;46.0450000
97.0000028610229;46.0484058;45.9037035;0.002802058;0.06590453;46.1990000
98.0000048875809;46.0476318;45.9280222;0.005706816;0.03869977;46.1990000
99.0000069141388;46.0286826;45.9210485;0.05249754;0.0107688;46.1990000
100.000001490116;46.1708018;45.9805339;0.1555481;0.0450013;46.1990000
101.000003516674;46.2023838;46.0630268;0.002292439;0.065102;46.3530000
102.000005543232;46.2016318;46.0890144;0.004927763;0.03937332;46.3530000
103.00000756979;46.1826826;46.0835308;0.05155246;0.01185816;46.3530000
104.000002145767;46.3248018;46.1430758;0.1545964;0.04537773;46.3530000
105.000004172325;46.3563838;46.2237209;0.001546599;0.06411033;46.5050000
106.000006198883;46.3555977;46.2465495;0.004629049;0.03711527;46.5050000
107.000008225441;46.3368945;46.2386220;0.05092844;0.009584771;46.5050000
108.000002801418;46.4771680;46.2975710;0.1526144;0.04432696;46.5050000
109.000004827976;46.5083398;46.3807195;0.001156639;0.06533153;46.6580000
110.000006854534;46.5076147;46.4068860;0.003652632;0.03955969;46.6580000
111.000008881092;46.4887886;46.4003294;0.05009809;0.01123062;46.6580000
112.000003457069;46.6299849;46.4596361;0.1524564;0.04506778;46.6580000
113.000005483627;46.6613618;46.5395063;0.0004284065;0.06345361;46.8090000
114.000007510185;46.6605806;46.5604871;0.003680817;0.03568156;46.8090000
115.000002086163;46.6420005;46.5506525;0.04989391;0.007948184;46.8090000
116.00000411272;46.7813511;46.6088265;0.150954;0.04326727;46.8090000
117.000006139278;46.8123179;46.6905445;0.0005911281;0.0639725;46.9600000
118.000008165836;46.8115806;46.7153400;0.003251537;0.03814839;46.9600000
119.000002741814;46.7930005;46.7077107;0.04921892;0.01002194;46.9600000
120.000004768372;46.9323511;46.7648715;0.1503919;0.04327874;46.9600000
121.00000679493;46.9633179;46.8433112;0.0003942857;0.0619485;47.1100000
122.000008821487;46.9625635;46.8646496;0.003487451;0.03534345;47.1100000
123.000003397465;46.9441064;46.8560070;0.04926894;0.008553054;47.1100000
124.000005424023;47.0825342;46.9132870;0.1497165;0.04277003;47.1100000
125;47.1132959;46.9925016;0.0005679792;0.06228144;47.2590000
126.000002026558;47.1125464;47.0158070;0.00340607;0.03667799;47.2590000
127.000004053116;47.0942124;47.0092505;0.04865635;0.01016342;47.2590000
