time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm];Position control error [mm]
61.6250038146973;80.0000000;79.9998851;1.280188E-05;-8.058378E-05;80.0000000;0.0001149
62.6875013113022;80.0000000;79.9999446;6.172531E-06;2.497149E-05;80.0000000;0.0000554
63.7500062584877;80.0000000;80.0000042;0;4.694048E-05;80.0000000;-0.0000042
64.8125037550926;80.0000000;80.0001234;-1.374892E-05;8.134978E-05;80.0000000;-0.0001234
65.8750012516975;80.0000000;80.0001234;-1.374892E-05;3.170561E-05;80.0000000;-0.0001234
66.9375061988831;80.0000000;79.9999447;6.16139E-06;-0.0001151736;80.0000000;0.0000553
68.000003695488;80.0000000;79.9999447;6.16139E-06;-5.471673E-05;80.0000000;0.0000553
69.0625011920929;80.0000000;79.9999447;6.16139E-06;-2.417963E-05;80.0000000;0.0000553
70.1250061392784;80.0000000;80.0000638;-7.108439E-06;6.67437E-05;80.0000000;-0.0000638
71.1875036358833;80.0000000;80.0001234;-1.374892E-05;5.619641E-05;80.0000000;-0.0001234
72.2500011324883;80.0000000;80.0000639;-7.119581E-06;-1.287556E-06;80.0000000;-0.0000639
73.3125060796738;80.0000000;80.0000043;0;-4.230505E-05;80.0000000;-0.0000043
74.3750035762787;80.0000000;79.9999447;6.16139E-06;-3.971692E-05;80.0000000;0.0000553
75.4375010728836;80.0000000;80.0000042;0;1.971736E-05;80.0000000;-0.0000042
76.5000060200691;80.0000000;80.0000638;-7.108439E-06;4.075849E-05;80.0000000;-0.0000638
77.562503516674;80.0000000;80.0001234;-1.374892E-05;5.132834E-05;80.0000000;-0.0001234
78.625001013279;80.0000000;80.0000639;-7.119581E-06;-6.083586E-06;80.0000000;-0.0000639
79.6875059604645;80.0000000;79.9999447;6.16139E-06;-5.763886E-05;80.0000000;0.0000553
80.7500034570694;80.0000000;79.9998851;1.280188E-05;-4.569318E-05;80.0000000;0.0001149
81.8125009536743;80.0000000;79.9998851;1.280188E-05;-1.582992E-05;80.0000000;0.0001149
82.8750059008598;80.0000000;80.0000042;0;7.982643E-05;80.0000000;-0.0000042
83.9375033974648;80.0000000;80.0000638;-7.108439E-06;6.072878E-05;80.0000000;-0.0000638
85.0000083446503;80.0000000;80.0000638;-7.108439E-06;2.36687E-05;80.0000000;-0.0000638
86.0625058412552;80.0000000;79.9999447;6.16139E-06;-6.615378E-05;80.0000000;0.0000553
87.1250033378601;80.0000000;79.9998851;1.280188E-05;-7.876084E-05;80.0000000;0.0001149
88.1875082850456;80.0000000;79.9998851;1.280188E-05;-2.728586E-05;80.0000000;0.0001149
89.2500057816505;80.0000000;80.0000042;0;7.011928E-05;80.0000000;-0.0000042
90.3125032782555;80.0000000;80.0000042;0;2.429208E-05;80.0000000;-0.0000042
91.375008225441;80.0000000;80.0000638;-7.108439E-06;5.655906E-05;80.0000000;-0.0000638
92.4375057220459;80.0000000;80.0000043;0;-3.329461E-05;80.0000000;-0.0000043
93.5000032186508;80.0000000;79.9999447;6.16139E-06;-3.620514E-05;80.0000000;0.0000553
94.5625081658363;80.0000000;79.9999447;6.16139E-06;-1.254289E-05;80.0000000;0.0000553
95.6250056624413;80.0000000;80.0000638;-7.108439E-06;6.539263E-05;80.0000000;-0.0000638
96.6875031590462;80.0000000;80.0000639;-7.119581E-06;1.750122E-05;80.0000000;-0.0000639
97.7500081062317;80.0000000;80.0000639;-7.119581E-06;6.821001E-06;80.0000000;-0.0000639
98.8125056028366;80.0000000;80.0000043;0;-4.472829E-05;80.0000000;-0.0000043
99.8750030994415;80.0000000;79.9998851;1.280188E-05;-9.654273E-05;80.0000000;0.0001149
100.937508046627;80.0000000;79.9998851;1.280188E-05;-3.344621E-05;80.0000000;0.0001149
102.000005543232;80.0000000;80.0000042;0;5.026103E-05;80.0000000;-0.0000042
103.062503039837;80.0000000;80.0000042;0;1.74124E-05;80.0000000;-0.0000042
