time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
0;80.0000000;80.0000638;5.147739E-05;80.0000000
0.750000006519258;80.0000000;80.0000043;-3.957315E-06;80.0000000
1.50000001303852;80.0000000;80.0000043;-1.952026E-06;80.0000000
2.24999990314245;80.0000000;79.9999447;-3.036178E-05;80.0000000
3.00000002607703;80.0000000;79.9999447;-1.497656E-05;80.0000000
3.75000014901161;80.0000000;79.9999447;-7.387489E-06;80.0000000
4.4999998062849;80.0000000;80.0000042;3.350153E-05;80.0000000
5.24999992921948;80.0000000;80.0000042;1.65253E-05;80.0000000
6.00000005215406;80.0000000;80.0000043;-9.462005E-06;80.0000000
6.75000017508864;80.0000000;80.0000043;-4.667325E-06;80.0000000
7.50000029802322;80.0000000;80.0000043;-6.429537E-06;80.0000000
8.24999995529652;80.0000000;80.0000043;-3.171499E-06;80.0000000
8.99999961256981;80.0000000;80.0000638;3.667746E-05;80.0000000
9.75000020116568;80.0000000;80.0000638;2.273509E-05;80.0000000
10.499999858439;80.0000000;80.0000638;1.121454E-05;80.0000000
11.2500004470348;80.0000000;80.0000043;-3.161376E-05;80.0000000
12.0000001043081;80.0000000;79.9999447;-5.745311E-05;80.0000000
12.7499997615814;80.0000000;79.9999447;-2.83399E-05;80.0000000
13.5000003501773;80.0000000;79.9999447;-1.397923E-05;80.0000000
14.2500000074506;80.0000000;80.0000042;2.245404E-05;80.0000000
15.0000005960464;80.0000000;80.0000042;1.107591E-05;80.0000000
15.7500002533197;80.0000000;79.9999447;-3.632534E-05;80.0000000
16.499999910593;80.0000000;79.9999447;-1.791821E-05;80.0000000
17.2499995678663;80.0000000;79.9998851;-4.191229E-05;80.0000000
17.9999992251396;80.0000000;79.9998851;-2.067408E-05;80.0000000
18.7500007450581;80.0000000;79.9999446;2.282037E-05;80.0000000
19.5000004023314;80.0000000;80.0000638;8.251449E-05;80.0000000
20.2500000596046;80.0000000;80.0000638;4.070194E-05;80.0000000
20.9999997168779;80.0000000;80.0000638;2.007705E-05;80.0000000
21.7499993741512;80.0000000;80.0000638;9.903411E-06;80.0000000
22.5000008940697;80.0000000;80.0000043;-3.22605E-05;80.0000000
23.250000551343;80.0000000;80.0000043;-1.591314E-05;80.0000000
24.0000002086163;80.0000000;80.0000043;-7.84948E-06;80.0000000
24.7499998658895;80.0000000;80.0000638;3.791684E-05;80.0000000
25.4999995231628;80.0000000;80.0000638;1.870324E-05;80.0000000
26.2500010430813;80.0000000;80.0000638;9.225752E-06;80.0000000
27.0000007003546;80.0000000;80.0000638;4.550789E-06;80.0000000
27.7500003576279;80.0000000;80.0000043;-4.542053E-05;80.0000000
28.5000000149012;80.0000000;80.0000043;-2.240459E-05;80.0000000
29.2499996721745;80.0000000;79.9999447;-4.412528E-05;80.0000000
30.0000011920929;80.0000000;80.0000042;1.125259E-05;80.0000000
30.7500008493662;80.0000000;80.0000042;5.550567E-06;80.0000000
31.5000005066395;80.0000000;80.0000638;3.994592E-05;80.0000000
32.2500020265579;80.0000000;80.0000638;1.970413E-05;80.0000000
32.9999998211861;80.0000000;80.0000638;9.719459E-06;80.0000000
33.7500013411045;80.0000000;80.0000043;-4.221803E-05;80.0000000
34.4999991357327;80.0000000;79.9999447;-5.803288E-05;80.0000000
35.2500006556511;80.0000000;79.9999447;-2.862589E-05;80.0000000
35.9999984502792;80.0000000;79.9999447;-1.41203E-05;80.0000000
36.7499999701977;80.0000000;79.9999447;-6.96512E-06;80.0000000
37.5000014901161;80.0000000;80.0000042;3.835307E-05;80.0000000
38.2499992847443;80.0000000;80.0000638;7.18962E-05;80.0000000
39.0000008046627;80.0000000;80.0000638;3.546425E-05;80.0000000
39.7499985992908;80.0000000;80.0000638;1.749346E-05;80.0000000
40.5000001192093;80.0000000;80.0000638;1.450555E-05;80.0000000
41.2500016391277;80.0000000;80.0000043;-2.219442E-05;80.0000000
41.9999994337559;80.0000000;80.0000043;-1.094785E-05;80.0000000
42.7500009536743;80.0000000;80.0000043;-5.400246E-06;80.0000000
43.4999987483025;80.0000000;80.0000043;-2.66378E-06;80.0000000
44.2500002682209;80.0000000;80.0000043;-1.313963E-06;80.0000000
45.0000017881393;80.0000000;80.0000043;-6.48139E-07;80.0000000
45.7499995827675;80.0000000;80.0000638;5.256918E-05;80.0000000
46.5000011026859;80.0000000;80.0000043;-1.585794E-05;80.0000000
47.2499988973141;80.0000000;80.0000043;-7.82225E-06;80.0000000
48.0000004172325;80.0000000;80.0000043;-3.858482E-06;80.0000000
